index,send_at,first_chunk_at,ms_to_first_chunk,query
1,2026-03-05T10:34:06.199Z,2026-03-05T10:34:35.579Z,29380,"How do I add a second device to myAir?"
2,2026-03-05T10:34:38.908Z,2026-03-05T10:34:49.623Z,10715,"Can I connect two CPAP machines to myAir?"
3,2026-03-05T10:34:53.318Z,2026-03-05T10:35:00.085Z,6767,"How can I add another device to myAir account?"
4,2026-03-05T10:35:04.199Z,2026-03-05T10:35:18.174Z,13975,"I have two CPAP machines, how do I add both to myAir?"
5,2026-03-05T10:35:21.903Z,2026-03-05T10:35:31.092Z,9189,"How do I register a second device in myAir app?"
6,2026-03-05T10:35:33.654Z,2026-03-05T10:35:41.363Z,7709,"Can myAir track two devices?"
7,2026-03-05T10:35:44.764Z,2026-03-05T10:35:51.528Z,6764,"How can I link multiple devices to myAir?"
8,2026-03-05T10:35:55.268Z,2026-03-05T10:36:02.837Z,7569,"Is it possible to add another machine to myAir?"
9,2026-03-05T10:36:06.083Z,2026-03-05T10:36:17.420Z,11337,"How do I connect my second CPAP device?"
10,2026-03-05T10:36:20.283Z,2026-03-05T10:36:28.292Z,8009,"Can I use two devices with myAir?"
11,2026-03-05T10:36:31.219Z,2026-03-05T10:36:41.835Z,10616,"How to add a new device in myAir?"
12,2026-03-05T10:36:44.907Z,2026-03-05T10:37:02.829Z,17922,"How do I switch devices in myAir?"
13,2026-03-05T10:37:06.892Z,2026-03-05T10:37:20.412Z,13520,"I got a new CPAP machine, how do I add it to myAir?"
14,2026-03-05T10:37:24.869Z,2026-03-05T10:37:39.528Z,14659,"How can I replace my old device with a new one in myAir?"
15,2026-03-05T10:37:43.561Z,2026-03-05T10:37:59.978Z,16417,"Can I add multiple machines to the myAir app?"
16,2026-03-05T10:38:03.539Z,2026-03-05T10:38:17.691Z,14152,"Why can’t I add another device to myAir?"
17,2026-03-05T10:38:21.085Z,2026-03-05T10:38:33.968Z,12883,"Does myAir support multiple devices?"
18,2026-03-05T10:38:37.555Z,2026-03-05T10:38:46.827Z,9272,"How many devices can I connect to myAir?"
19,2026-03-05T10:38:51.277Z,2026-03-05T10:39:04.248Z,12971,"Can I manage two CPAP devices in one myAir account?"
20,2026-03-05T10:39:08.104Z,2026-03-05T10:39:15.188Z,7084,"How do I add another AirSense device to myAir?"
21,2026-03-05T10:39:20.752Z,2026-03-05T10:39:32.612Z,11860,"I want to connect my backup CPAP machine to myAir, how do I do it?"
22,2026-03-05T10:39:36.427Z,2026-03-05T10:39:58.429Z,22002,"How do I pair a second machine with myAir?"
23,2026-03-05T10:40:01.870Z,2026-03-05T10:40:14.812Z,12942,"Can myAir monitor two CPAP machines?"
24,2026-03-05T10:40:18.941Z,2026-03-05T10:40:31.929Z,12988,"How can I link my second sleep device to myAir?"
25,2026-03-05T10:40:35.946Z,2026-03-05T10:40:46.205Z,10259,"How to add an additional device in myAir app?"
26,2026-03-05T10:40:49.779Z,2026-03-05T10:41:01.959Z,12180,"Can I add another CPAP machine to myAir?"
27,2026-03-05T10:41:06.711Z,2026-03-05T10:41:15.025Z,8314,"How do I connect two sleep therapy devices to myAir?"
28,2026-03-05T10:41:19.266Z,2026-03-05T10:41:28.521Z,9255,"Is it possible to track two machines in myAir?"
29,2026-03-05T10:41:33.243Z,2026-03-05T10:41:47.218Z,13975,"Can I register more than one device in the myAir app?"
30,2026-03-05T10:41:51.516Z,2026-03-05T10:42:00.176Z,8660,"How can I add my second ResMed device to myAir?"
31,2026-03-05T10:42:03.889Z,2026-03-05T10:42:17.956Z,14067,"Does myAir allow multiple CPAP devices?"
32,2026-03-05T10:42:22.061Z,2026-03-05T10:42:27.511Z,5450,"How do I link another machine with myAir?"
33,2026-03-05T10:42:31.647Z,2026-03-05T10:42:37.786Z,6139,"Can I sync two devices with myAir account?"
34,2026-03-05T10:42:42.277Z,2026-03-05T10:42:56.428Z,14151,"How many CPAP machines can I connect to myAir?"
35,2026-03-05T10:43:00.612Z,2026-03-05T10:43:15.852Z,15240,"How do I pair an additional device with myAir?"
36,2026-03-05T10:43:20.567Z,2026-03-05T10:43:26.258Z,5691,"I have two machines, how do I connect both to myAir?"
37,2026-03-05T10:43:31.334Z,2026-03-05T10:43:44.076Z,12742,"Can I manage multiple sleep devices in the myAir app?"
38,2026-03-05T10:43:48.169Z,2026-03-05T10:43:57.816Z,9647,"How do I connect my backup CPAP to myAir?"
39,2026-03-05T10:44:01.992Z,2026-03-05T10:44:08.454Z,6462,"Can I add my partner’s device to myAir?"
40,2026-03-05T10:44:13.076Z,2026-03-05T10:44:21.241Z,8165,"How do I register another therapy device in myAir?"
41,2026-03-05T10:44:25.530Z,2026-03-05T10:44:39.957Z,14427,"Can myAir monitor more than one machine?"
42,2026-03-05T10:44:44.550Z,2026-03-05T10:44:59.844Z,15294,"How do I add a second AirSense device to myAir?"
43,2026-03-05T10:45:05.149Z,2026-03-05T10:45:15.920Z,10771,"Can I connect both my home and travel CPAP to myAir?"
44,2026-03-05T10:45:21.965Z,2026-03-05T10:45:37.113Z,15148,"Is it possible to use two CPAP machines with one myAir account?"
45,2026-03-05T10:45:41.437Z,2026-03-05T10:45:52.685Z,11248,"How do I link an extra device to myAir?"
46,2026-03-05T10:45:58.198Z,2026-03-05T10:46:05.416Z,7218,"How can I add my new CPAP device to the myAir app?"
47,2026-03-05T10:46:10.017Z,2026-03-05T10:46:17.821Z,7804,"What should I do if I have two CPAP devices?"
48,2026-03-05T10:46:22.578Z,2026-03-05T10:46:40.714Z,18136,"How do I track therapy from two devices in myAir?"
49,2026-03-05T10:46:45.712Z,2026-03-05T10:47:00.689Z,14977,"Can I add my second sleep machine to myAir profile?"
50,2026-03-05T10:47:05.657Z,2026-03-05T10:47:17.600Z,11943,"How do I connect another ResMed machine to myAir?"
51,2026-03-05T10:47:22.301Z,2026-03-05T10:47:30.131Z,7830,"Can myAir support multiple therapy devices?"
52,2026-03-05T10:47:35.797Z,2026-03-05T10:47:48.733Z,12936,"How can I switch between two CPAP machines in myAir?"
53,2026-03-05T10:47:53.294Z,2026-03-05T10:48:03.681Z,10387,"How do I manage two CPAP devices in one account?"
54,2026-03-05T10:48:07.970Z,2026-03-05T10:48:18.487Z,10517,"Can I register multiple devices in myAir?"
55,2026-03-05T10:48:23.648Z,2026-03-05T10:48:31.307Z,7659,"How do I sync another sleep device with myAir?"